# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
偏锋	偏鋒	technique in which the shaft of the brush is held at a low angle, so that the tip of the brush runs along the edge of the stroke; unorthodox or improper way of doing things
偏门	偏門	side door; doing things by the side door
偏颇	偏頗	biased; partial
偏题	偏題	to go off-topic; to stray from the topic; obscure question
偏食	偏食	partial to; having likes and dislikes; partial eclipse
偏高	偏高	to be on the high side; to be unusually high
偏黄	偏黃	yellowish
偓	偓	constrained
偕	偕	in company with
偕同	偕同	along with; accompanied by; together with
偕老	偕老	to grow old together
做	做	to make; to produce; to write
做一天和尚撞一天钟	做一天和尚撞一天鐘	lit. as a monk for today, toll today's bell; fig. to do one's job mechanically; to hold a position passively
做不到	做不到	impossible
做东	做東	to act as host
做为	做為	to act as
做买卖	做買賣	to buy and sell; to do business; to trade
做事	做事	to work; to handle matters; to have a job
做亲	做親	to become related by marriage; to marry
做人	做人	to conduct oneself; to behave with integrity
做人家	做人家	thrifty; economical
做人情	做人情	to do a favor to sb
做伴	做伴	to keep sb company; to accompany
做作	做作	affected; artificial
做准备工作	做準備工作	to make preparations
做出	做出	to put out; to issue
做到	做到	to accomplish; to achieve
做功	做功	to do work; non-vocal acting
做功夫	做功夫	to practice
做厅长	做廳長	to sleep on the couch; to sleep in the living room
做声	做聲	to speak; to emit sound
做大	做大	arrogant; to put on airs; to expand
做好做歹	做好做歹	to persuade using all possible arguments; to act good cop and bad cop in turn
做媒	做媒	to act as go-between
做学问	做學問	to pursue scholarly study; to engage in academic research
做完	做完	to finish; to complete the task
做官	做官	to take an official post; to become a government employee
做客	做客	to be a guest or visitor
做寿	做壽	to celebrate a birthday
做小	做小	to be sb's concubine
做小抄	做小抄	to prepare a crib sheet; to crib; to cheat by copying
做局	做局	to orchestrate a trap; to set sb up
做工	做工	to work with one's hands; manual work; workmanship
做工作	做工作	to do one's work; to work on sb; to try to persuade sb
做工夫	做工夫	to practice
做市商	做市商	market maker
做张做势	做張做勢	to put on an act; to pose; to show theatrical affectation
做张做智	做張做智	to put on an act; to pose; to show theatrical affectation
做戏	做戲	to act in a play; to put on a play
做手	做手	to put one's hand to sth; to set about; skillful hands
做手脚	做手腳	to manipulate dishonestly; to tamper with sth
做掉	做掉	to kill; to get rid of; to defeat
做操	做操	to do exercises; to do gymnastics
做文章	做文章	to make an issue of sth; to fuss; to make a song and dance
做旧	做舊	to give (sth) an antique look; to artificially age; to distress
做梦	做夢	to dream; to have a dream; to indulge in wishful thinking
做法	做法	way of handling sth; method for making; work method
做活	做活	to work for a living
做派	做派	way of doing sth; behavior; to act in an affected manner
做满月	做滿月	to celebrate a baby's one-month milestone
做爱	做愛	to make love
做牛做马	做牛做馬	lit. to work like an ox, to work like a horse; fig. to work extremely hard
做球	做球	to set up a teammate; to throw a game
做生意	做生意	to do business
做生日	做生日	to celebrate a birthday
做生活	做生活	to work; to do manual labor
做眉做眼	做眉做眼	to frown
做眼	做眼	to make an "eye"; to serve as eyes and ears; to be a scout
做眼色	做眼色	to give sb a meaningful look
做礼拜	做禮拜	to worship; to pray
做祷告	做禱告	to pray
做空	做空	to short sell
做绝	做絕	to go to extremes; to leave no room for maneuver
做脸	做臉	to win honor; to put on a stern face; to have a facial
做自己	做自己	to be oneself
做菜	做菜	to cook; cooking
做账	做賬	to keep the books; to do the accounts; to cook the books
做贼心虚	做賊心虛	to feel guilty as a thief; to have sth on one's conscience
做针线	做針線	to do needlework
做错	做錯	to make an error
做饭	做飯	to prepare a meal; to cook
做鬼	做鬼	to play tricks; to cheat; to get up to mischief
做鬼脸	做鬼臉	to pull a face; to grimace; to scowl
做鸡	做雞	to work as a prostitute
做鸭	做鴨	to work as a prostitute
停	停	to stop; to halt; to park
停下	停下	to stop
停下来	停下來	to stop
停业	停業	to cease trading; to close down
停产	停產	to stop production
停住	停住	to stop; to halt; to cease
停俸	停俸	to suspend salary payments
停刊	停刊	to stop publishing
停办	停辦	to shut down; to terminate; to cancel
停尸	停屍	to keep the body of the deceased
停尸房	停屍房	mortuary
停尸间	停屍間	morgue
停工	停工	to stop work; to shut down; to stop production
停当	停當	settled; accomplished; ready
停息	停息	to stop; to cease
停战	停戰	to cease fire; to stop fighting; armistice
停战日	停戰日	Armistice Day
停手	停手	to stop
停损单	停損單	stop-loss order
停摆	停擺	to stop swinging; to come to a halt; to be suspended
停放	停放	to park; to moor; to leave sth
停更	停更	to stop updating
停服	停服	to shut down a server; to terminate; to stop taking
停机	停機	to stop; to shut down; to park a plane
停机坪	停機坪	aircraft parking ground; apron; tarmac
停机时间	停機時間	downtime
停歇	停歇	to stop for a rest
停止	停止	to stop; to halt; to cease
停步	停步	to come to a stand; to stop
停水	停水	to cut off the water supply; water outage
停泊	停泊	to anchor; anchorage; mooring
停滞	停滯	stagnation; at a standstill; bogged down
停滞不前	停滯不前	stuck and not moving forward; stagnant; in a rut
停火	停火	to cease fire; ceasefire
停火线	停火線	cease-fire line
停用	停用	to stop using; to suspend; to discontinue
停电	停電	to have a power failure; power cut
停留	停留	to stay somewhere temporarily; to stop over
停盘	停盤	to suspend trading
停站	停站	bus stop
停经	停經	to stop menstruating
停职	停職	to suspend (sb) from duties
停航	停航	to stop running; to suspend service; to interrupt schedule
停薪留职	停薪留職	leave of absence without pay
停表	停表	stopwatch; to stop the clock
停课	停課	to stop classes; to close
停车	停車	to pull up; to park; to stop working
停车位	停車位	parking space; parking spot
停车场	停車場	parking lot; car park
停车库	停車庫	car park
停车格	停車格	parking bay
停车站	停車站	bus stop
停车计时器	停車計時器	parking meter
停靠	停靠	to call at; to stop at; berth
停靠港	停靠港	port of call
停靠站	停靠站	bus or tram stop; intermediate stop; port of call
停顿	停頓	to halt; to break off; pause
停飞	停飛	to be grounded
停食	停食	to retain in stomach due to indigestion
停驶	停駛	to stop running
偝	偝	to disobey; to stand back-to-back
偟	偟	free time; leisure
偡	偡	orderly; neat
偢	偢	to stare at
健	健	healthy; to invigorate; to strengthen
健保	健保	National Health Insurance
健儿	健兒	top athlete; heroic warrior
健全	健全	robust; sound
健力	健力	powerlifting
健友	健友	fitness enthusiast; gym-goer
健在	健在	alive and in good health; intact; holding up OK
健壮	健壯	robust; healthy; sturdy
健将	健將	adept and valiant military general; skilled athlete; top player
健康	健康	health; healthy
健康保险	健康保險	health insurance
健康受损	健康受損	health damage
健康状况	健康狀況	health status
健康食品	健康食品	health food
健忘	健忘	forgetful
健忘症	健忘症	amnesia
健怡	健怡	diet; low-calorie
健怡可乐	健怡可樂	Diet Coke; Coca-Cola Light
健慰器	健慰器	sex toy
健旺	健旺	robust; healthy; vigorous
健检	健檢	medical checkup; physical examination
健步如飞	健步如飛	running as fast as flying
健硕	健碩	well-built; strong and muscular
健美	健美	healthy and beautiful; to do fitness exercises
健美操	健美操	aerobics; aerobic dance
健美运动	健美運動	body-building
健行	健行	to hike
健诊	健診	check-up
健谈	健談	entertaining in conversation
健走	健走	to walk briskly; to power-walk
健身	健身	to exercise; to keep fit; to work out
健身室	健身室	gym
健身房	健身房	gym; fitness club
健身馆	健身館	gym
偨	偨	uneven
偩	偩	to rely on; to resemble
偫	偫	to wait for; to lay in
偬	傯	busy; hurried; despondent
偭	偭	to transgress
偯	偯	to sob; wail
偰	偰	contract
偱	偱	to tell
偲	偲	learned; erudite; gifted
偲偲	偲偲	to learn from and encourage each other
偶	偶	accidental; image; pair
偶一	偶一	accidentally; once in a while; very occasionally
偶一为之	偶一為之	to do sth once in a while; to do sth more as an exception than the rule
偶买嘎	偶買嘎	oh my God!
偶人	偶人	idol
偶像	偶像	idol
偶像剧	偶像劇	idol drama; drama series in which the actors are chosen for their preexisting popularity with young viewers
偶像包袱	偶像包袱	burden of having to maintain one's image as a pop idol
偶函数	偶函數	even function
偶合	偶合	coincidence
偶尔	偶爾	occasionally; once in a while; sometimes
偶数	偶數	even number
偶极	偶極	dipole
偶然	偶然	incidentally; occasional; occasionally
偶然事件	偶然事件	random accident; chance event
偶然性	偶然性	chance; fortuity; serendipity
偶犯	偶犯	casual offender; casual offense
偶而	偶而	occasionally; once in a while
偶联反应	偶聯反應	chain reaction
偶见	偶見	to happen upon; to see incidentally; occasional
偶语弃市	偶語棄市	chance remarks can lead to public execution
偶蹄	偶蹄	artiodactyl
偶蹄目	偶蹄目	Artiodactyla
偶蹄类	偶蹄類	Artiodactyla
偶遇	偶遇	to meet by chance
偷	偷	to steal; to pilfer; to snatch
偷人	偷人	to cheat on her husband; to have an affair
偷偷	偷偷	stealthily; secretly; covertly
偷偷摸摸	偷偷摸摸	surreptitious; sneaky
偷加	偷加	to surreptitiously add
偷去	偷去	to steal; to make off with; stolen
偷取	偷取	to steal
偷吃	偷吃	to eat on the sly; to pilfer food; to be unfaithful
偷听	偷聽	to eavesdrop; to monitor
偷天换日	偷天換日	to engage in fraudulent activities; skulduggery; to hoodwink people
偷子	偷子	thief
偷安	偷安	to shirk responsibility; thoughtless pleasure-seeking
偷工	偷工	to skimp on the job; to avoid work
偷工减料	偷工減料	to skimp on the job and stint on materials; jerry-building; sloppy work
偷师	偷師	to steal techniques; to learn secretly from sb else's skills or methods
偷情	偷情	to carry on a clandestine love affair
偷惰	偷惰	to skive off work; to be lazy
偷懒	偷懶	to goof off; to be lazy
偷拍	偷拍	to photograph or film sb without their knowledge or consent
偷换	偷換	to substitute on the sly
偷排	偷排	to dump illegally
偷摸	偷摸	surreptitious; sneaky
偷梁换柱	偷梁換柱	lit. to steal a rafter and replace it with a column; to replace the original with a fake; to perpetrate a fraud
偷汉子	偷漢子	to cheat on her husband; to have an affair
偷油婆	偷油婆	cockroach
偷渡	偷渡	illegal immigration; to stowaway; to steal across the international border
偷渡者	偷渡者	smuggled illegal alien; stowaway
偷漏	偷漏	to evade
偷猎	偷獵	to poach
偷猎者	偷獵者	poacher
偷生	偷生	to live without purpose
偷盗	偷盜	to steal
偷看	偷看	to peep; to peek; to steal a glance
偷眼	偷眼	to take a furtive look at
偷税	偷稅	tax evasion
偷空	偷空	to take some time out; to make use of a spare moment
偷窃	偷竊	to steal; to pilfer
偷窥	偷窺	to peep; to peek; to act as voyeur
偷窥狂	偷窺狂	voyeur; peeping tom
偷笑	偷笑	to laugh up one's sleeve
偷腥	偷腥	to cheat on one's spouse; to have an affair
偷袭	偷襲	to mount a sneak attack; to raid
偷跑	偷跑	to sneak off; to slip away; to jump the gun
偷运	偷運	to smuggle
偷闲	偷閑	to snatch a moment of leisure; to take a break from work
偷香窃玉	偷香竊玉	lit. stolen scent, pilfered jade; philandering; secret illicit sex
偷鸡不成蚀把米	偷雞不成蝕把米	lit. to try to steal a chicken only to end up losing the rice used to lure it; fig. to try to gain an advantage only to end up worse off; to go for wool and come back shorn
偷鸡摸狗	偷雞摸狗	to imitate the dog and steal chicken; to pilfer; to dally with women
偻	僂	crookbacked
偾	僨	to instigate; to ruin; to destroy
偿	償	to repay; to compensate for; to recompense
偿付	償付	to pay back
偿债	償債	to repay a debt
偿命	償命	to pay with one's life
偿清	償清	to repay; to pay off a debt
偿还	償還	to repay; to reimburse
傀	傀	grand; strange; exotic
傀儡	傀儡	puppet
傀儡戏	傀儡戲	puppet show
傀儡政权	傀儡政權	puppet state; puppet regime
傅	傅	instructor; to instruct; to attach
傅作义	傅作義	Fu Zuoyi (1895–1974), Chinese general and politician, Nationalist commander who negotiated the peaceful surrender of Beiping (Beijing) to the Communists in 1949, and later held senior posts in the PRC government
傅柯	傅柯	Michel Foucault (1926-1984), French philosopher
傅科摆	傅科擺	Foucault's pendulum
傅立叶	傅立葉	Charles Fourier
傅立叶变换	傅立葉變換	Fourier transform
傅说	傅說	Fu Shuo (c. 14th century BC), legendary sage and principal minister of Shang ruler Wu Ding
傅里叶	傅里葉	Jean-Baptiste-Joseph Fourier
傈僳	傈僳	Lisu ethnic group
傈僳族	傈僳族	Lisu ethnic group
傍	傍	near; approaching; to depend on
傍亮	傍亮	dawn; daybreak
傍人篱壁	傍人籬壁	to depend on others
傍人门户	傍人門戶	to be dependent upon sb
傍午	傍午	towards noon; just before midday
傍大款	傍大款	to live off a rich man
傍家儿	傍家兒	lover; partner
傍晚	傍晚	in the evening; when night falls; towards evening
傍柳随花	傍柳隨花	prostitute
傍边	傍邊	near; beside
傍近	傍近	to be close to
傍黑	傍黑	dusk
傎	傎	inversion; mistake
傒	傒	to wait; servant; path
傔	傔	servant
傜	傜	Yao tribe
傞	傞	uneven; unsteady
傣	傣	Dai ethnic group
傣族	傣族	Dai ethnic group
傤	儎	load; cargo; to transport
傥	儻	variant of
傧	儐	best man; to entertain
傧相	儐相	attendant of the bride or bridegroom at a wedding
储	儲	to store up; to keep in reserve; heir to the throne
储值	儲值	to put money into; to top up
储值卡	儲值卡	stored-value card; prepaid card
储君	儲君	heir apparent to a throne
储备	儲備	to store up; reserves
储备粮	儲備糧	grain reserves
储备货币	儲備貨幣	reserve currency
储备金	儲備金	reserves
储存	儲存	stockpile; to store; to stockpile
储币	儲幣	to deposit money
储户	儲戶	depositor
储气	儲氣	gas storage
储气罐	儲氣罐	gas tank
储水	儲水	to store water
储水管	儲水管	standpipe
储水箱	儲水箱	water-storage tank
储物	儲物	to store things; to stow items
储物柜	儲物櫃	locker; cabinet
储精囊	儲精囊	seminal vesicle
储能	儲能	to store energy
储蓄	儲蓄	to save money; savings
储蓄卡	儲蓄卡	debit card
储蓄率	儲蓄率	savings rate
储藏	儲藏	to store; deposit; deposits
储藏室	儲藏室	storeroom
储量	儲量	remaining quantity; reserves
傩	儺	to exorcise demons
傩戏	儺戲	Anhui local opera
傩神	儺神	exorcising God; God who drives away plague and evil spirits
催	催	to urge; to press; to prompt
催乳	催乳	to promote lactation; to stimulate lactation
催乳激素	催乳激素	prolactin
催产	催產	to induce labor; to expedite childbirth
催产素	催產素	oxytocin
催促	催促	to urge
催化	催化	to catalyze; catalysis
催化作用	催化作用	catalysis
催化剂	催化劑	catalyst
催吐	催吐	to induce vomiting
催吐剂	催吐劑	an emetic
催命	催命	to press sb to death; fig. to pressurize sb continually
催奶	催奶	to promote lactation; to stimulate lactation
催婚	催婚	to urge sb (typically, one's adult child or nephew etc) to get married
催情	催情	to promote estrus; to bring an animal to heat by artificial means
催收	催收	to urge sb to provide sth; to press; debt collection
催更	催更	to urge (a blogger etc) to post some fresh content
催泪	催淚	to move to tears; tear-provoking; lacrimogen
催泪剂	催淚劑	lachrymator
催泪大片	催淚大片	tear-jerker
催泪弹	催淚彈	tear bomb; tear-gas grenade
催泪瓦斯	催淚瓦斯	tear gas
催熟	催熟	to promote ripening of fruit
催生	催生	to pressure a younger relative to hurry up and have a baby; to induce labor; to expedite childbirth
催生婆	催生婆	midwife who induces labor
催生素	催生素	oxytocin
催生者	催生者	driving force behind sth
催眠	催眠	to lull to sleep; to hypnotize
催眠师	催眠師	hypnotist
催眠曲	催眠曲	lullaby
催眠术	催眠術	hypnotism; hypnotherapy; mesmerism
催眠状态	催眠狀態	hypnosis
催眠药	催眠藥	soporific drug
催肥	催肥	to fatten
催肥剂	催肥劑	fattening preparation
催膘	催膘	to feed livestock with highly nutritional food in order to fatten them up in a short time
催芽	催芽	to induce germination of seeds; to encourage sprouting of tubers or cuttings
催讨	催討	to demand repayment of debt
催证	催證	to call for the issue of a letter of credit
催谷	催谷	to boost; to propel
催账	催賬	to demand payment of money owed
催逼	催逼	to press
傮	傮	finish, to go around
傲	傲	proud; arrogant; to despise
傲人	傲人	worthy of pride; impressive; enviable
傲娇	傲嬌	presenting as unfriendly and blunt, but warm and tender inside
傲岸	傲岸	proud; haughty
傲慢	傲慢	arrogant; haughty
傲慢与偏见	傲慢與偏見	Pride and Prejudice, novel by Jane Austen ·
傲慢无礼	傲慢無禮	arrogant; disrespectful
傲气	傲氣	air of arrogance; haughtiness
傲然	傲然	loftily; proudly; unyieldingly
傲睨	傲睨	to look down upon
傲立	傲立	to stand proudly
傲视	傲視	to turn up one's nose; to show disdain for; to regard superciliously
傲视群伦	傲視群倫	outstanding talent; incomparable artistic merit; accomplishment out of the ordinary
傲骨	傲骨	lofty and unyielding character
傺	傺	to detain; to hinder
傻	傻	foolish
傻不愣登	傻不愣登	stupid; dazed
傻乎乎	傻乎乎	feeble-minded; dim-witted
傻人有傻福	傻人有傻福	fortune favors fools; fool's luck
傻冒	傻冒	idiot; fool; foolish
傻卵	傻卵	dumbass
傻叉	傻叉	fool; blockhead
傻大个	傻大個	idiot; blockhead; clod
傻大个儿	傻大個兒	stupid great hulk of a man
傻头傻脑	傻頭傻腦	stupid; muddle-headed
傻子	傻子	idiot; fool
傻屄	傻屄	stupid cunt
傻屌	傻屌	dumbass
傻帽	傻帽	fool; idiot; foolish
傻愣愣	傻愣愣	staring stupidly; petrified
傻气	傻氣	foolish; foolishness
傻爆眼	傻爆眼	stunned; flabbergasted
傻瓜	傻瓜	idiot; fool
傻瓜干面	傻瓜乾麵	boiled noodles served without broth, topped with just a sprinkle of oil and some chopped spring onions, to which customers add vinegar, soy sauce or chili oil according to their taste
傻瓜式	傻瓜式	foolproof
傻瓜相机	傻瓜相機	point-and-shoot camera; compact camera
傻白甜	傻白甜	sweet, naive young woman
傻眼	傻眼	stunned; dumbfounded; flabbergasted
傻笑	傻笑	to giggle; to laugh foolishly; to smirk
傻缺	傻缺	idiot; fool
傻蛋	傻蛋	stupid young fellow; idiot
傻话	傻話	foolish talk; nonsense
傻里傻气	傻裡傻氣	foolish; stupid
傿	傿	name of an immortal; ancient place name; fraudulent price
僄	僄	light; airy
僇	僇	to despise; to insult
働	働	labor; work
僎	僎	collect
像	像	to resemble; to be like; to look as if
像元	像元	pixel
像差	像差	aberration
像样	像樣	presentable; decent; up to par
像模像样	像模像樣	solemn; presentable; decent
像章	像章	badge; insignia; lapel badge
像素	像素	pixel
像话	像話	proper; appropriate
像那么回事儿	像那麽回事兒	not bad at all; quite impressive
僔	僔	to congregate; to crowd
僖	僖	cautious; merry; joyful
僚	僚	bureaucrat; colleague
僚机	僚機	wingman aircraft
僜	僜	Deng ethnic minority of Tibet
僝	僝	to revile; to abuse
僣	僣	to overstep one's authority; to usurp
僦	僦	to rent; to hire; to lease
僧	僧	Buddhist monk
僧人	僧人	monk
僧伽	僧伽	sangha; the monastic community; monk
僧侣	僧侶	monk
僧俗	僧俗	Buddhist monks and secular people
僧加罗语	僧加羅語	Sinhalese
僧多粥少	僧多粥少	lit. many monks and not much gruel; fig. not enough to go around; demand exceeds supply
僧尼	僧尼	monks and nuns
僧帽水母	僧帽水母	Portuguese man o' war
僧帽猴	僧帽猴	capuchin monkey; genus Cebidae
僧徒	僧徒	Buddhist monks
僧院	僧院	abbey; Buddhist monastery; vihara
僩	僩	courageous; valiant
僬侥	僬僥	legendary dwarfs in the west of China; barbarians in the southwest of China
僬僬	僬僬	clear-minded; bustling
僭	僭	to overstep one's authority
僭主	僭主	tyrant; usurper
僭主政治	僭主政治	tyranny; government by usurper
僭称	僭稱	to give sb or sth a title one has no authority to give
僭越	僭越	to usurp; to overstep one's authority
僮	僮	servant boy
僮仆	僮僕	boy servant
僮族	僮族	old term for , Zhuang ethnic group of Guangxi
僯	僯	ashamed
僰	僰	name of an ethnic group
僵	僵	rigid; deadlock; stiff
僵住	僵住	motionless; unable to move
僵住症	僵住症	catalepsy
僵化	僵化	to become rigid
僵卧	僵臥	to lie rigid and motionless
僵固性	僵固性	rigidity
僵尸	殭屍	gyonshi; jiang shi; Chinese vampire
僵尸粉	殭屍粉	"zombie fans", fake followers that can be bought to boost one's popularity on Weibo, Baidu etc
僵尸网络	僵屍網絡	botnet; zombie network; slave network
僵尸车	僵屍車	abandoned car
僵局	僵局	impasse; deadlock
僵持	僵持	to be deadlocked
僵直	僵直	stiff; rigid; inflexible
僵硬	僵硬	stiff; rigid
僻	僻	remote; out of the way; off-center
僻地	僻地	the sticks; the boondocks
僻处	僻處	to be located in; to be hidden away in
僻远	僻遠	remote and faraway
僻静	僻靜	lonely; secluded
僾	僾	indistinct; hazy; misty
僿	僿	small, minute; lacking sincerity
儃	儃	indecisive; irresolute
儅	儅	stop
儆	儆	to warn; to admonish
儆戒	儆戒	to warn; to admonish
儇	儇	ingenious; frivolous
儊	儊	rough and rugged
儋	儋	carry
儋县	儋縣	Dan county, Hainan
儋州市	儋州市	Danzhou, prefecture-level city in Hainan Province
儌	儌	by mere luck
儒	儒	scholar; Confucian
儒勒·凡尔纳	儒勒·凡爾納	Jules Verne (1828-1905), French novelist specializing in science fiction and adventure stories
儒士	儒士	a Confucian scholar
儒学	儒學	Confucianism
儒家	儒家	Confucian school, founded by Confucius (551-479 BC) and Mencius
儒教	儒教	Confucianism
儒林外史	儒林外史	The Scholars, satirical Qing dynasty novel by Wu Jingzi
儒生	儒生	Confucian scholar
儒略日	儒略日	Julian day
儒者	儒者	Confucian scholar
儒艮	儒艮	dugong
儒雅	儒雅	scholarly; refined; cultured
儓	儓	servant
儜	儜	weak; wearied; in distress
儤	儤	on night duty
儦	儦	walking to and fro
儩	儩	the end; to finish
儭	儭	to assist; to give alms
儱	儱	rude; barbarous
儳	儳	irregular; mixed
儹	儹	to accumulate, to hoard, to store up
儽	儽	lazy; tired out, worn fatigued
儿	兒	child; son; non-syllabic diminutive suffix
儿不嫌母丑，狗不嫌家贫	兒不嫌母醜，狗不嫌家貧	a son won't abandon his mother for being ugly, just as a dog won't abandon its owner for being poor
儿化	兒化	to rhotacize a syllable final; to apply r-coloring to the final of a syllable
儿化音	兒化音	erhua
儿化韵	兒化韻	syllable final with r-coloring; rhotacized syllable final
儿女	兒女	children; sons and daughters; a young man and a young woman
儿女双全	兒女雙全	to have both a son and a daughter
儿女英雄传	兒女英雄傳	The Gallant Maid, novel by Manchu-born Qing dynasty writer
儿媳	兒媳	daughter-in-law
儿媳妇	兒媳婦	daughter-in-law
儿媳妇儿	兒媳婦兒	erhua form of
儿子	兒子	son
儿孙	兒孫	descendant
儿孙自有儿孙福	兒孫自有兒孫福	younger generations will do all right on their own
儿戏	兒戲	child's play; trifling matter
儿时	兒時	childhood
儿歌	兒歌	nursery rhyme
儿科	兒科	pediatrics
儿童	兒童	child
儿童乐园	兒童樂園	children's play area
儿童基金会	兒童基金會	UNICEF
儿童权利公约	兒童權利公約	Convention on the Rights of the Child
儿童节	兒童節	Children's Day
儿茶素	兒茶素	catechin
儿马	兒馬	male horse; stallion
兀	兀	rising to a height; towering; bald
兀凳	兀凳	Chinese-style low stool
兀立	兀立	to stand upright
兀自	兀自	still; yet
兀鹫	兀鷲	vulture; Eurasian griffon vulture
兀鹰	兀鷹	griffon vulture
允	允	just; fair; to permit
允准	允准	to approve; to permit; approval
允宜	允宜	appropriate; apt
允当	允當	proper; suitable
允文允武	允文允武	equally proficient in intellectual and military affairs
允许	允許	to permit; to allow
允诺	允諾	to promise; to consent
元	元	Yuan dynasty; currency unit; first
元世祖	元世祖	lit. progenitor of the Yuan Dynasty (1279-1368), title of Khubilai Khan (1215-1294), first Yuan dynasty emperor, reigned 1260-1294
元代	元代	the Yuan or Mongol dynasty
元件	元件	element; component
元军	元軍	Mongol army; army of Yuan dynasty
元凶	元凶	chief offender; main culprit
元勋	元勛	leading light; founding father; principal proponent
元古代	元古代	Proterozoic
元古宙	元古宙	pre-Cambrian
元史	元史	History of the Yuan Dynasty, twenty third of the 24 dynastic histories , compiled under Song Lian in 1370 during the Ming Dynasty, 210 scrolls
元器件	元器件	component
元夜	元夜	Lantern Festival; night of 15th of first lunar month
元太祖	元太祖	posthumous title of Genghis Khan
元好问	元好問	Yuan Haowen (1190-1257), famous poet Northern China during the Jin-Yuan transition
元宇宙	元宇宙	metaverse
元宝	元寶	a silver or gold ingot; mock ingot; a name for ancient currency
元宝区	元寶區	Yuanbao, a district of Dandong City , Liaoning
元宝山区	元寶山區	Yuanbaoshan, a district of Chifeng City , Inner Mongolia
元宵	元宵	Lantern Festival; night of the 15th of the first lunar month; sticky rice dumplings
元宵节	元宵節	Lantern Festival, the final event of the Spring Festival , on 15th of first month of the lunar calendar
元山	元山	Wonsan city in Kangweon province of North Korea
元山市	元山市	Wonsan city in Kangweon province of North Korea
元帅	元帥	marshal; commander-in-chief
元年	元年	first year of an emperor's reign; first year of an era; first year of a significant time period
元恶	元惡	arch-criminal; master criminal
元恶大憝	元惡大憝	arch-criminal and archenemy
元数据	元數據	metadata
元旦	元旦	New Year's Day
元旦节	元旦節	New Year's Day
元曲	元曲	Yuan dynasty theater, including poetry, music and comedy
元曲四大家	元曲四大家	Four Great Yuan Dramatists, namely: Guan Hanqing , Zheng Guangzu , Ma Zhiyuan and Bai Pu
元月	元月	first month
元朗	元朗	Yuen Long town in northwest New Territories, Hong Kong
元朗市	元朗市	Yuen Long town, Hong Kong Island
元朝	元朝	Yuan or Mongol dynasty
元末	元末	final years of Yuan dynasty; mid 14th century
元氏县	元氏縣	Yuanshi, a county in Shijiazhuang City , Hebei
元气	元氣	vigor; strength; vitality
元江哈尼族彝族傣族自治县	元江哈尼族彝族傣族自治縣	Yuanjiang Hani, Yi and Dai Autonomous County, in Yuxi City , Yunnan
元神	元神	primordial spirit; fundamental essence of life
元素	元素	element
元素周期表	元素週期表	periodic table of the elements
元组	元組	tuple
元老	元老	senior figure; doyen; founding member
元老院	元老院	upper house; senate; senior statesmen's assembly
元肉	元肉	dried longan pulp
元胞自动机	元胞自動機	cellular automaton
元认知	元認知	metacognition
元诗四大家	元詩四大家	the four masters of Yuan poetry, namely , , and
元语言	元語言	metalanguage
元语言能力	元語言能力	metalinguistic ability
元谋县	元謀縣	Yuanmou, a county in Chuxiong Yi Autonomous Prefecture , Yunnan
元资料	元資料	metadata
元配	元配	first wife
元阳县	元陽縣	Yuanyang, a county in Honghe Hani and Yi Autonomous Prefecture , Yunnan
元青	元青	deep black
元音	元音	vowel
元音和谐	元音和諧	vowel harmony
元首	元首	head of state
元龙	元龍	one that has achieved the way; emperor
兄	兄	elder brother
兄台	兄臺	brother
兄妹	兄妹	brother(s) and sister
兄嫂	兄嫂	elder brother and his wife
兄弟	兄弟	brothers; younger brother; I, me
兄弟会	兄弟會	fraternity
兄弟姐妹	兄弟姐妹	brothers and sisters; siblings
兄弟阋于墙，外御其侮	兄弟鬩於墻，外禦其侮	internal disunity dissolves at the threat of an invasion from outside
兄弟阋墙	兄弟鬩牆	internecine strife; fighting among oneself
兄长	兄長	elder brother; term of respect for a man of about the same age
充	充	sufficient; full; to fill
充任	充任	to fill a post of; to act as
充作	充作	to serve as; to be a substitute for
充值	充值	to recharge; to top up
充值卡	充值卡	rechargeable card; to recharge a card
充公	充公	to confiscate
充其量	充其量	at most; at best
充军	充軍	to banish
充分	充分	ample; sufficient; adequate
充分就业	充分就業	full employment
充分考虑	充分考慮	to give sufficient consideration to
充发	充發	to banish to penal servitude
充塞	充塞	congestion; to block; to congest
充填	充填	to fill; to pad out; to complement
充填因数	充填因數	complementary factor
充填物	充填物	filling material; stuffing; lining
充好	充好	to substitute shoddy goods
充实	充實	rich; full; substantial
充当	充當	to serve as; to act as; to play the role of
充数	充數	to make up the number; to serve as stopgap
充斥	充斥	to be full of; to flood; to congest
充气	充氣	to pump air; to inflate
充气船	充氣船	inflatable boat
充氧	充氧	to oxygenate; to provide oxygen complement
充沛	充沛	abundant; plentiful
充溢	充溢	to overflow; replete
充满	充滿	full of; brimming with; very full
充满阳光	充滿陽光	sun-drenched
充电	充電	to recharge; to recharge one's batteries; to update one's skills and knowledge
充电器	充電器	battery charger
