# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
䴓	鳾	nuthatch
䴔	鵁	a kind of aquatic bird
䴕	鴷	woodpecker
䴙䴘	鷿鷈	grebe
䶮	龑	character coined for use in the name of Liu Yan (889–942), founding emperor of Southern Han
一	一	one; single; a
一一	一一	one by one; one after another
一一对应	一一對應	one-to-one correspondence
一一映射	一一映射	bijective map
一丁不识	一丁不識	illiterate
一丁点	一丁點	a tiny bit
一下	一下	a bit; a little; all at once
一下儿	一下兒	erhua form of
一下子	一下子	once; one time; for a moment
一不做，二不休	一不做，二不休	lit. either don't do it, or don't rest; fig. if you do it at all, you may as well go the whole hog; in for a penny, in for a pound
一不小心	一不小心	to be a little bit careless; to have a moment of inattentiveness; accidentally
一世	一世	generation; period of 30 years; one's whole lifetime
一丘之貉	一丘之貉	jackals of the same tribe; fig. They are all just as bad as each other.
一东一西	一東一西	far apart
一丝一毫	一絲一毫	one thread, one hair; a tiny bit; an iota
一丝不挂	一絲不掛	not wearing one thread; absolutely naked; without a stitch of clothing
一丝不苟	一絲不苟	not one thread loose; strictly according to the rules; meticulous
一丢丢	一丟丟	a tiny bit
一个	一個	a; an; one
一个个	一個個	a number of; each and every one; one by one
一个中国政策	一個中國政策	one-China policy
一个人	一個人	by oneself; alone
一个劲	一個勁	continuously; persistently; incessantly
一个半	一個半	one and a half
一个天南，一个地北	一個天南，一個地北	to live miles apart
一个头两个大	一個頭兩個大	to feel as though one's head could explode
一个将军一个令	一個將軍一個令	lit. one general, one order; fig. every boss has their own rules; everyone has their own way of doing things
一个巴掌拍不响	一個巴掌拍不響	lit. one palm alone cannot clap; fig. it takes two persons to start a dispute; it takes two to tango
一个接一个	一個接一個	one by one; one after another
一个样	一個樣	the same; of the same type
一个萝卜一个坑	一個蘿蔔一個坑	lit. every turnip to its hole; fig. each person has his own position; each to his own
一中一台	一中一台	"one China, one Taiwan" – the notion that China and Taiwan are separate political entities
一中原则	一中原則	One-China principle, the official doctrine that Taiwan is a province of China
一举	一舉	a move; an action; in one move
一举一动	一舉一動	every movement; each and every move
一举两得	一舉兩得	one action, two gains; two birds with one stone
一举成功	一舉成功	success at one go; to succeed at the first attempt
一举成名	一舉成名	to become famous in one stroke; to shoot to fame
一举手一投足	一舉手一投足	every little move; every single movement
一之为甚	一之為甚	once is more than enough
一了百了	一了百了	once the main problem is solved, all troubles are solved; death ends all one's troubles
一事无成	一事無成	to have achieved nothing; to be a total failure; to get nowhere
一二	一二	one or two; a few; a little
一二九运动	一二九運動	December 9th Movement (1935), student protest movement calling for resistance to Japanese aggression
一二八事变	一二八事變	January 28 Incident (1932), military conflict between China and Japan in Shanghai
一五一十	一五一十	lit. count by fives and tens; to narrate systematically and in full detail
一些	一些	some; a few; a little
一亩三分地	一畝三分地	one's turf
一亲芳泽	一親芳澤	to get close to; to get on intimate terms with
一人得道，鸡犬升天	一人得道，雞犬升天	when a person attains enlightenment and immortality, even his chickens and dogs will ascend to heaven with him; when somebody attains a position of power and influence, their relatives and friends also benefit
一介不取	一介不取	to not even take a penny
一代	一代	an era; an age; a generation
一代不如一代	一代不如一代	to be getting worse with each generation
一以贯之	一以貫之	consistently upheld; adhered to from beginning to end
一价	一價	monovalent
一众	一眾	a group of people; a whole group
一会	一會	a moment; a while; in a moment
一会儿	一會兒	a moment; a while; in a moment
一传十，十传百	一傳十，十傳百	to spread like wildfire; to be disseminated far and wide
一体	一體	an integral whole; all concerned; everybody
一体两面	一體兩面	two sides of the same coin
一体化	一體化	to integrate; to unify
一作	一作	first author
一侧化	一側化	lateralization
一元	一元	single-variable; univariate
一元化	一元化	integration; integrated; unified
一元复始	一元復始	a new year begins
一元论	一元論	monism, belief that the universe is made of a single substance
一元醇	一元醇	monohydric alcohol; alcohol with one hydroxyl group
一党	一黨	one-party
一党专制	一黨專制	one party dictatorship
一共	一共	in total; altogether
一再	一再	repeatedly
一决雌雄	一決雌雄	to have a showdown; to fight for mastery; to compete for a championship
一准	一準	certainly
一击入洞	一擊入洞	hole in one
一刀两断	一刀兩斷	to make a clean break with; to have nothing more to do with
一刀切	一刀切	lit. to cut all at one stroke; to impose uniformity; one solution fits a diversity of problems
一分一毫	一分一毫	the tiniest bit
一分为二	一分為二	one divides into two; to be two-sided; there are two sides to everything
一分熟	一分熟	rare
一分耕耘，一分收获	一分耕耘，一分收穫	you reap what you sow
一分钱一分货	一分錢一分貨	you get what you pay for
一分钱两分货	一分錢兩分貨	high quality at bargain price
一切	一切	everything; every; all
一切向钱看	一切向錢看	to put money above everything else
一切如旧	一切如舊	everything as before
一切就绪	一切就緒	everything in its place and ready
一切险	一切險	all risks
一则	一則	on the one hand
一则以喜，一则以忧	一則以喜，一則以憂	happy on the one hand, but worried on the other
一刹那	一剎那	a moment; an instant; in a flash
一刻	一刻	a quarter of an hour; 15 minutes; a moment
一刻千金	一刻千金	time is gold; every minute is precious
一刻钟	一刻鐘	a quarter of an hour
一力降十会	一力降十會	brute force overcomes clever tactics
一动不动	一動不動	motionless
一劳永逸	一勞永逸	to get sth done once and for all
一匙	一匙	spoonful
一千零一夜	一千零一夜	One Thousand and One Nights; Arabian Nights
一半	一半	half
一半天	一半天	in a day or two; soon
一卡通	一卡通	the name of various contactless smart cards, notably Yikatong (mainly for public transport in Beijing) and iPASS
一厢情愿	一廂情願	one's own wishful thinking
一去不回	一去不回	gone forever
一去不复返	一去不復返	gone forever
一去无影踪	一去無影蹤	gone without a trace
一反常态	一反常態	complete change from the normal state; quite uncharacteristic; entirely outside the norm
一反往常	一反往常	contrary to what usually happens
一发	一發	to complete one's hand within a single turn after declaring riichi
一发不可收拾	一發不可收拾	once it gets started there's no stopping it
一发而不可收	一發而不可收	to be impossible to stop once started
一口	一口	readily; flatly; a mouthful
一口价	一口價	fixed price; take-it-or-leave-it price
一口吃不成胖子	一口吃不成胖子	lit. you cannot get fat with only one mouthful; fig. any significant achievement requires time, effort and persistence
一口吃个胖子	一口吃個胖子	lit. to want to get fat with only one mouthful; fig. to try to achieve one's goal in the shortest time possible; to be impatient for success
一口咬定	一口咬定	to arbitrarily assert; to allege; to stick to one's statement
一口气	一口氣	one breath; in one breath; at a stretch
一句	一句	a line of verse; a sentence
一句话	一句話	in a word; in short
一叶知秋	一葉知秋	lit. the falling of one leaf heralds the coming of autumn; fig. a small sign can indicate a great trend; a straw in the wind
一叶障目	一葉障目	lit. eyes obscured by a single leaf; fig. not seeing the wider picture; can't see the wood for the trees
一号	一號	first day of the month; toilet; top
一号木杆	一號木桿	driver
一号电池	一號電池	D size battery
一同	一同	together
一吐为快	一吐為快	to get sth off one's chest
一向	一向	a period of time in the recent past; all along; the whole time
一员	一員	a member
一周	一周	one week; all the way around; a whole cycle
一味	一味	persistently; stubbornly; blindly
一呼百应	一呼百應	to elict an enthusiastic response; to receive extensive approval
一呼百诺	一呼百諾	one command brings a hundred responses; having hundreds of attendants at one's beck and call
一命呜呼	一命嗚呼	to die; to breathe one's last; to give up the ghost
一品	一品	superb; first-rate; the highest rank
一品红	一品紅	poinsettia
一品锅	一品鍋	dish containing a variety of meats and vegetables arranged in a broth in a clay pot; chafing dish
一哄而散	一哄而散	to disperse in confusion
一哄而起	一哄而起	to rush into action
一哥	一哥	top-ranked male; leading male; top male personality
